,Matches,HomePositions,AwayPositions,HomeWins,AwayWins,HomeDraws,AwayDraws,HomeLosses,AwayLosses,HomeGoalsScored,AwayGoalsScored,HomeGoalsConceded,AwayGoalsConceded,HomeGoalDiff,AwayGoalDiff,HomePoints,AwayPoints,Result
0,05/06 - MKE Ankaragücü vs. Galatasaray A.S.,5,2,0,1,1,0,0,0,2,2,2,1,0,1,1,3,2
1,05/06 - Malatyaspor vs. Manisaspor,9,6,0,0,1,1,0,0,1,2,1,2,0,0,1,1,2
2,05/06 - Caykur Rizespor vs. Samsunspor,18,15,0,0,0,0,1,1,0,2,1,3,-1,-1,0,0,2
3,05/06 - Gaziantepspor vs. Sivasspor,1,10,1,0,0,1,0,0,3,1,2,1,1,0,3,1,0
4,05/06 - Fenerbahce SK vs. Diyarbakirspor,13,4,0,1,1,0,0,0,0,1,0,0,0,1,1,3,0
5,05/06 - Konyaspor vs. Trabzonspor,16,3,0,1,0,0,1,0,1,2,2,1,-1,1,0,3,0
6,05/06 - Ankaraspor vs. Genclerbirligi Ankara,11,14,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
7,05/06 - Kayserispor vs. Kayseri Erciyesspor,17,12,0,0,0,1,1,0,1,1,2,1,-1,0,0,1,2
8,05/06 - Besiktas JK vs. Denizlispor,7,8,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1
